Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
SoftBank Hawks,32.9,4.6,18.0,9.9,-1.5,6.1,4.2,-0.5,WL
ORIX Buffaloes,-25.6,-3.4,-26.9,-0.3,-5.1,7.0,-2.0,0.1,WL
Lotte Marines,41.1,6.1,44.0,7.4,-1.6,-9.0,5.0,1.2,EL
Nipponham Fighters,14.3,2.3,21.9,-4.7,-1.2,-1.9,0.5,0.7,EL
Yomiuri Giants,-27.3,-3.5,-47.6,13.8,2.4,4.0,2.9,1.2,EL
Yakult Swallows,6.6,1.0,11.7,-10.7,4.2,1.1,-14.6,-2.0,EL
Chunichi Dragons,-68.0,-10.2,-47.5,-11.7,-2.2,-6.3,-2.8,0.9,WL
Hiroshima Carp,20.8,3.4,20.6,-1.5,0.6,1.3,-2.1,0.0,WL
DeNA BayStars,-13.0,-2.0,-5.4,-8.1,2.4,-2.6,-1.8,-2.6,EL
Seibu Lions,-48.7,-7.1,-42.5,-7.4,2.1,-1.4,-0.2,0.6,EL
Rakuten Eagles,66.2,9.3,52.3,12.8,1.1,-0.9,11.0,1.2,EL
Hanshin Tigers,6.6,1.0,0.7,8.1,-1.3,-1.0,-0.3,-0.7,WL
